Graph,Algorithm,Nodes,Edges,Terminals,Expected cost,Steiner tree cost,Absolute error,Relative error (%),Runtime (s),Validated
B10,Simple 11/6 Full w/ zeroing contraction,75,150,13,86,87,1,1.1627906976744207,0.9830312728881836,True
B11,KMB Basic,75,150,19,88,97,9,10.22727272727273,0.02805948257446289,True
B11,KMB Full,75,150,19,88,90,2,2.2727272727272707,0.028650999069213867,True
B11,Simple 11/6 Basic,75,150,19,88,97,9,10.22727272727273,1.3890056610107422,True
B11,Simple 11/6 Basic w/ zeroing contraction,75,150,19,88,88,0,0.0,4.19478440284729,True
B11,Simple 11/6 Full,75,150,19,88,90,2,2.2727272727272707,0.927811861038208,True
B11,Simple 11/6 Full w/ zeroing contraction,75,150,19,88,88,0,0.0,4.0875444412231445,True
B12,KMB Basic,75,150,38,174,179,5,2.8735632183908066,0.07403349876403809,True
B12,KMB Full,75,150,38,174,174,0,0.0,0.0743105411529541,True
B12,Simple 11/6 Basic,75,150,38,174,179,5,2.8735632183908066,28.15057611465454,True
B12,Simple 11/6 Basic w/ zeroing contraction,75,150,38,174,174,0,0.0,86.27103400230408,True
B12,Simple 11/6 Full,75,150,38,174,174,0,0.0,28.09875512123108,True
B12,Simple 11/6 Full w/ zeroing contraction,75,150,38,174,174,0,0.0,92.47329807281494,True
B13,KMB Basic,100,125,17,165,194,29,17.575757575757578,0.02248835563659668,True
B13,KMB Full,100,125,17,165,175,10,6.060606060606055,0.023406982421875,True
B13,Simple 11/6 Basic,100,125,17,165,189,24,14.54545454545455,1.2199733257293701,True
B13,Simple 11/6 Basic w/ zeroing contraction,100,125,17,165,175,10,6.060606060606055,3.02005934715271,True
B13,Simple 11/6 Full,100,125,17,165,172,7,4.2424242424242475,1.2274305820465088,True
B13,Simple 11/6 Full w/ zeroing contraction,100,125,17,165,173,8,4.8484848484848575,2.110394239425659,True
B14,KMB Basic,100,125,25,235,273,38,16.170212765957448,0.034087419509887695,True
B14,KMB Full,100,125,25,235,237,2,0.8510638297872353,0.0336000919342041,True
B14,Simple 11/6 Basic,100,125,25,235,247,12,5.106382978723412,9.827895641326904,True
B14,Simple 11/6 Basic w/ zeroing contraction,100,125,25,235,238,3,1.2765957446808418,25.71441125869751,True
B14,Simple 11/6 Full,100,125,25,235,238,3,1.2765957446808418,7.228602647781372,True
B14,Simple 11/6 Full w/ zeroing contraction,100,125,25,235,237,2,0.8510638297872353,21.044074058532715,True
B15,KMB Basic,100,125,50,318,338,20,6.2893081761006275,0.12602496147155762,True
B15,KMB Full,100,125,50,318,325,7,2.2012578616352307,0.12994098663330078,True
B15,Simple 11/6 Basic,100,125,50,318,329,11,3.4591194968553562,203.61945247650146,True
B15,Simple 11/6 Basic w/ zeroing contraction,100,125,50,318,318,0,0.0,602.3071653842926,True
B15,Simple 11/6 Full,100,125,50,318,322,4,1.2578616352201255,219.9628939628601,True
B15,Simple 11/6 Full w/ zeroing contraction,100,125,50,318,318,0,0.0,597.4992518424988,True
B16,KMB Basic,100,200,17,127,138,11,8.661417322834652,0.022463083267211914,True
B16,KMB Full,100,200,17,127,137,10,7.874015748031504,0.02226400375366211,True
B16,Simple 11/6 Basic,100,200,17,127,138,11,8.661417322834652,0.5916233062744141,True
B16,Simple 11/6 Basic w/ zeroing contraction,100,200,17,127,130,3,2.3622047244094446,1.2719597816467285,True
B16,Simple 11/6 Full,100,200,17,127,137,10,7.874015748031504,0.5848355293273926,True
B16,Simple 11/6 Full w/ zeroing contraction,100,200,17,127,127,0,0.0,1.2604808807373047,True
B17,KMB Basic,100,200,25,131,145,14,10.687022900763354,0.047910451889038086,True
B17,KMB Full,100,200,25,131,133,2,1.526717557251911,0.0481717586517334,True
B17,Simple 11/6 Basic,100,200,25,131,143,12,9.160305343511443,5.769746541976929,True
B17,Simple 11/6 Basic w/ zeroing contraction,100,200,25,131,132,1,0.7633587786259444,18.513495683670044,True
B17,Simple 11/6 Full,100,200,25,131,135,4,3.053435114503822,7.364678144454956,True
B17,Simple 11/6 Full w/ zeroing contraction,100,200,25,131,131,0,0.0,20.38358783721924,True
B18,KMB Basic,100,200,50,218,234,16,7.339449541284404,0.1790926456451416,True
B18,KMB Full,100,200,50,218,222,4,1.83486238532109,0.18329143524169922,True
B18,Simple 11/6 Basic,100,200,50,218,230,12,5.504587155963292,278.3715193271637,True
B18,Simple 11/6 Basic w/ zeroing contraction,100,200,50,218,218,0,0.0,811.7051584720612,True
B18,Simple 11/6 Full,100,200,50,218,220,2,0.917431192660545,277.85983443260193,True
B18,Simple 11/6 Full w/ zeroing contraction,100,200,50,218,218,0,0.0,761.3835773468018,True
C01,KMB Basic,500,625,5,85,106,21,24.705882352941178,0.006039857864379883,True
C01,KMB Full,500,625,5,85,88,3,3.529411764705892,0.007506847381591797,True
C01,Simple 11/6 Basic,500,625,5,85,96,11,12.941176470588234,0.5837945938110352,True
C01,Simple 11/6 Basic w/ zeroing contraction,500,625,5,85,89,4,4.705882352941182,0.7368686199188232,True
C01,Simple 11/6 Full,500,625,5,85,86,1,1.17647058823529,0.7289690971374512,True
C01,Simple 11/6 Full w/ zeroing contraction,500,625,5,85,87,2,2.35294117647058,0.7411911487579346,True
C02,KMB Basic,500,625,10,144,151,7,4.861111111111116,0.03663229942321777,True
C02,KMB Full,500,625,10,144,144,0,0.0,0.03725719451904297,True
C02,Simple 11/6 Basic,500,625,10,144,151,7,4.861111111111116,0.889728307723999,True
C02,Simple 11/6 Basic w/ zeroing contraction,500,625,10,144,144,0,0.0,0.9301261901855469,True
C02,Simple 11/6 Full,500,625,10,144,144,0,0.0,0.8959457874298096,True
C02,Simple 11/6 Full w/ zeroing contraction,500,625,10,144,144,0,0.0,0.9392025470733643,True
C06,KMB Basic,500,1000,5,55,66,11,19.999999999999996,0.012778043746948242,True
C06,KMB Full,500,1000,5,55,60,5,9.090909090909083,0.014182329177856445,True
C06,Simple 11/6 Basic,500,1000,5,55,56,1,1.8181818181818077,0.8183474540710449,True
C06,Simple 11/6 Basic w/ zeroing contraction,500,1000,5,55,55,0,0.0,0.6997802257537842,True
C06,Simple 11/6 Full,500,1000,5,55,56,1,1.8181818181818077,0.6995065212249756,True
C06,Simple 11/6 Full w/ zeroing contraction,500,1000,5,55,55,0,0.0,0.7040932178497314,True
C07,KMB Basic,500,1000,10,102,123,21,20.58823529411764,0.037009477615356445,True
C07,KMB Full,500,1000,10,102,115,13,12.745098039215685,0.03697037696838379,True
C07,Simple 11/6 Basic,500,1000,10,102,118,16,15.686274509803933,0.8352668285369873,True
C07,Simple 11/6 Basic w/ zeroing contraction,500,1000,10,102,110,8,7.843137254901955,0.8650708198547363,True
C07,Simple 11/6 Full,500,1000,10,102,109,7,6.8627450980392135,0.7996726036071777,True
C07,Simple 11/6 Full w/ zeroing contraction,500,1000,10,102,107,5,4.90196078431373,0.8697888851165771,True
C11,KMB Basic,500,2500,5,32,39,7,21.875,0.020931005477905273,True
C11,KMB Full,500,2500,5,32,37,5,15.625,0.022763967514038086,True
C11,Simple 11/6 Basic,500,2500,5,32,35,3,9.375,1.087191104888916,True
C11,Simple 11/6 Basic w/ zeroing contraction,500,2500,5,32,33,1,3.125,1.1015822887420654,True
C11,Simple 11/6 Full,500,2500,5,32,35,3,9.375,1.1021227836608887,True
C11,Simple 11/6 Full w/ zeroing contraction,500,2500,5,32,33,1,3.125,1.1161112785339355,True
C12,KMB Basic,500,2500,10,46,55,9,19.565217391304344,0.07208871841430664,True
C12,KMB Full,500,2500,10,46,49,3,6.521739130434789,0.07789301872253418,True
C12,Simple 11/6 Basic,500,2500,10,46,55,9,19.565217391304344,1.2713243961334229,True
C12,Simple 11/6 Basic w/ zeroing contraction,500,2500,10,46,50,4,8.695652173913038,1.3838419914245605,True
C12,Simple 11/6 Full,500,2500,10,46,49,3,6.521739130434789,1.3092930316925049,True
C12,Simple 11/6 Full w/ zeroing contraction,500,2500,10,46,47,1,2.1739130434782705,1.3848609924316406,True
C16,KMB Basic,500,12500,5,11,13,2,18.181818181818187,0.06350207328796387,True
C16,KMB Full,500,12500,5,11,13,2,18.181818181818187,0.0704030990600586,True
C16,Simple 11/6 Basic,500,12500,5,11,12,1,9.090909090909083,3.591442823410034,True
C16,Simple 11/6 Basic w/ zeroing contraction,500,12500,5,11,12,1,9.090909090909083,3.6396024227142334,True
C16,Simple 11/6 Full,500,12500,5,11,12,1,9.090909090909083,3.6405527591705322,True
C16,Simple 11/6 Full w/ zeroing contraction,500,12500,5,11,12,1,9.090909090909083,3.6832315921783447,True
C17,KMB Basic,500,12500,10,18,20,2,11.111111111111116,0.2694833278656006,True
C17,KMB Full,500,12500,10,18,20,2,11.111111111111116,0.27831387519836426,True
C17,Simple 11/6 Basic,500,12500,10,18,19,1,5.555555555555558,4.209662199020386,True
C17,Simple 11/6 Basic w/ zeroing contraction,500,12500,10,18,19,1,5.555555555555558,4.947532415390015,True
C17,Simple 11/6 Full,500,12500,10,18,19,1,5.555555555555558,4.281496286392212,True
C17,Simple 11/6 Full w/ zeroing contraction,500,12500,10,18,19,1,5.555555555555558,4.1764068603515625,True
D01,KMB Basic,1000,1250,5,106,124,18,16.981132075471695,0.01296377182006836,True
D01,KMB Full,1000,1250,5,106,107,1,0.9433962264151052,0.015167951583862305,True
D01,Simple 11/6 Basic,1000,1250,5,106,114,8,7.547169811320753,2.679006576538086,True
D01,Simple 11/6 Basic w/ zeroing contraction,1000,1250,5,106,110,4,3.7735849056603765,2.695272922515869,True
D01,Simple 11/6 Full,1000,1250,5,106,106,0,0.0,2.7058238983154297,True
D01,Simple 11/6 Full w/ zeroing contraction,1000,1250,5,106,110,4,3.7735849056603765,2.7748782634735107,True
D02,KMB Basic,1000,1250,10,220,280,60,27.27272727272727,0.06831908226013184,True
D02,KMB Full,1000,1250,10,220,237,17,7.727272727272738,0.07247328758239746,True
D02,Simple 11/6 Basic,1000,1250,10,220,233,13,5.909090909090908,2.9683094024658203,True
D02,Simple 11/6 Basic w/ zeroing contraction,1000,1250,10,220,231,11,5.000000000000004,3.0222175121307373,True
D02,Simple 11/6 Full,1000,1250,10,220,224,4,1.8181818181818077,3.0351650714874268,True
D02,Simple 11/6 Full w/ zeroing contraction,1000,1250,10,220,224,4,1.8181818181818077,3.102389335632324,True
D06,KMB Basic,1000,2000,5,67,85,18,26.865671641791057,0.022783756256103516,True
D06,KMB Full,1000,2000,5,67,73,6,8.955223880597018,0.026053667068481445,True
D06,Simple 11/6 Basic,1000,2000,5,67,73,6,8.955223880597018,3.3035268783569336,True
D06,Simple 11/6 Basic w/ zeroing contraction,1000,2000,5,67,69,2,2.9850746268656803,3.695768117904663,True
D06,Simple 11/6 Full,1000,2000,5,67,70,3,4.477611940298498,3.665473222732544,True
D06,Simple 11/6 Full w/ zeroing contraction,1000,2000,5,67,68,1,1.4925373134328401,3.2566373348236084,True
